id,text,streets,landmarks,businesses,times,activities
45,The faces of two girls who had way too much fun cleaning out their gently used winter clothes!! #donate4fosterkids and #makeadifference #happyness #ad,had way,,,,
46,The high school basketball championship games will be televised today if you can’t make it to Raleigh or chapel hill,,high school,,,
47,"#Runway
#IngunaButane @ingunabutane - Valentino Fall/Winter 2007.
@realmrvalentino @giancarlogiammetti",,,,,run
48,Whoa. So amazed at my new twirling curling iron! Thank you for sending it @t3micro and iFabbo! #twirl360 #ifabbomember #spon,t3micro and iFabbo,,,,
49,"Anyone up for breakfast in the Bahamas? Another #myWOWmoment from #SandalsRoyalBahamian. 🌴✈️️🌴✈️️Check out 1079thelink.com for how to win your way here!🌴✈️️🌴✈️️
.
.
.
.
#LIVEfromSandals #ad #breakfast #bahamas #clt",your way,,,,
50,#bucs fans! Are you here at Ray Jay hanging out before today’s game against the 49’ers? Come hang out with us and @lazydays_rv in lot 14!,,,,,
51,#tip - roll your ground beef flat before freezing it!  You can fit more into the freezer and it's easier to thaw/cook later.  #feedyourfreezer #kitchenadventures #cooking101,freezer and it,,,,
52,"Since I don’t want to complain anymore about the frigid weather, I will just say here’s to it almost being the weekend! One more day friends, have a great night!",,,,,
53,Sun is shining and so are you ☀️,shining and so,,,,
54,"Last stop of the Steve Harvey Annual Turkey Drive In Kinston with @skeemonee #SHMSTurkeyGive, #SHMS @steveharveyfm",Turkey Drive,,,,drive
55,🚨 The Q Presents @nfrealmusic at @thebjcc October 27th! Tickets on sale Friday at 10am but you know we have your free ones all week 🎤🙌🎶😁👋 #NF #PerceptionTour,,,,10am,
56,THOUGHTS?! R.Kelly and his team  are launching a new website called survivinglies.com!,Kelly and his,,,,
57,11/28/18 - loss to Mavs :(. Throwback hat and vintage sweater were gifts from @youknownothingjonc thanksss!!! Tank and shoes were made/customized by me. #rockets #houstonrockets,hat and vintage; Tank and shoes,,,,
58,Love #coffeeshopvibes with the #brewjunkiecoffeehouse.  This quote from their wall might just be my all time favorite!  #dreamchaser #momliferocks #mykidsaremylife #mydream,,,,,coffee
59,"Someone get us these! #Repost @girlsthinkimfunny with @get_repost
・・・
Someone buy me these😍🤠",,,,,
60,19 years & still counting ⏳...wouldn’t have it no other way! Love you to the moon & back 100 times Bestie! 😘 @miss_elitaaaa ❤️👭#nationalbestfriendday,years & still; other way; moon & back,,,,
61,Easy to predict @lindsayell will be 🔥🔥🔥 at our #incredibulltuesdays next week at @bhamtinroof! Make plans to join us 4/23 and get there early for the chance to meet her! 🙌🏻,23 and get,,,,
62,my bumble bee graduated from high school today 🐝 so proud of you @birgittasq ✨ // #cousins #graduation #lsrhs18,,graduated from high school,,,
63,It didn't take long for Jim Monaghan to find the ice cream truck!  2nd annual Oktober Family Festival in Little Falls.,,,,,
64,"So overjoyed that our station could be associated with such a monumental moment in @madonna’s career! All love, always 😍💜",,overjoyed that our station,,,
65,‪11pm TONIGHT 🙌 Then Every Hour All Day Tomorrow! 📻 The KJ103 World Premiere of @justintimberlake #Filthy‬ #NewMusic #OKC,,,,11pm,
66,The magic is out at @shoparboretumnc today. Stop by and say hi before 5pm.,by and say,,,5pm,
67,"Med oppskriftboka fra @memo_of_norway har man alle oppskriftene til julebaksten samlet 🎄Ønsker dere en fin mandag 🎄❤️ (Sponset)
°
°
°
°
°
°
@memo_of_norway
#memoofnorway",,,,,
68,@shawnmendes tickets and your chance to go backstage starts Monday!! Listen all week at 8:10am + 4:10pm ❤️🎤🎶👏 #Shawn1037,tickets and your,,,8:10am; 4:10pm,
69,Get to Mugs Sports Bar and Grill on Icot Road in Clearwater today from 1 to 3pm and hang with The Bone for the chance to get hooked up with a brand new Xbox One S from Bud Light!,Bar and Grill; Icot Road; 3pm and hang,,,3pm,
70,#GusKenworthy joined @OnWithMarioLopez to talk #AmericanHorrorStory and more! See at the link in our bio!,AmericanHorrorStory and more,,,,
71,‪TONIGHT'S THE NIGHT! 🎉‬ ‪Watch night 1️⃣ of our #iHeartFestival LIVE tonight at 9pm! CWTV.com 😍🙌👏#RaeSremmurd #MariahCarey #SamSmith #PanicAtTheDisco‬,,,,9pm,
72,Getting ready for the Oklahoma City St. Patrick's Day Parade! ☘️🍀☘️ If you're headed downtown be sure to wave at us!,City St,,,,
73,WE’RE TRUSTING U @jonasbrothers!! 🆒,,,,,
74,"When you don’t have a soppy cup and don’t want sticky drink “stuff” in your car, etc.  #geniusmom #momhacks #mom101 #momtips #organizedmom #nailed_it #smartkids #drinkideas #kidstips",cup and don,,,,
75,#TexasRangers player @elvis_andrus1988 went viral yesterday for his #WalkOutSong being #BabyShark!! 🦈 What would your song be? #CubbyandCarolina #QOTD,,,,,walk
76,It's two weeks until the NHL Playoffs and everybody at @tampajoes are showing off their Bolts spirit!! All we have to say is: #TampaWinCup ⚡⚡⚡,Playoffs and everybody,,,,
77,"tara, how exciting that we get to celebrate your birthday and day 3 of our fitness journey on the same day!!! may you get wiser and hotter with each passing day ❤️",birthday and day; wiser and hotter,,,,
78,"$500 in Commercial Free Country Cash is coming baaaack. But this time with a little something extra. And, once again, LOCAL WINNERS ONLY! Details 7:10 tomorrow!",,,,7:10,
79,🎖got the gold and GOT THAT GIRL🎖,gold and GOT,,,,
80,Coming soon cooking with @sherilynch1 and a special guest! #justsheri,sherilynch1 and a,,,,
81,"All you have to do is #UseYourHandForAGrand and let WDHA put #freemoney in your pocket! Just grab the keyword weekdays at 8a, 11a, 1p, 4p, & 6p and text it to 40772!
📸 - Berke/Shutterstock",UseYourHandForAGrand and let; 6p and text,,,,
82,As @halestormrocks closes out #rockcarnival we just want to say thanks to everyone who joined us on this wet and wild weekend...,wet and wild,,,,
83,gems and friends...oh yeah and my insane boot collection 👢🌿✨ // #jewelry #vintage #prints #necklaces #pendants #fpme #freepeople,gems and friends; yeah and my,,,,
84,"Happy 26th birthday baby bro. We put you to rest yesterday 😔, but today we’ll celebrate your life and we will do it like your right here with us. We love you dearly. Rest peacefully my love. 💙🙏🏽👼🏽",life and we,,,,
85,Are you excited to see #EliYoungBand and #RussellDickerson at #NashvilleInTheNeighborhood? 🎤 Save the date for February 6th and get your tickets at the link in our bio!,6th and get,,,,
86,I might be waiting for @ultabeauty to open... Come on 10 am! I need new foundation!,,,,10 am,
87,"My Favourite Place 🖤🖤🖤
🛌
🛌
🛌
🛌
🛌
#longhair #blackhair #bed #love #girl #selfie #legs #sunshine #taurus #comfortable #home #nap #instagood #yeg",Favourite Place,,,,
88,Look at that hair blowin in the wind. She need to be on somebody's runway! Lol ☺️,,,,,run
89,A story came out about a man who popped an ambient to fall asleep and apparently proposed to his girlfriend in his sleep!! 😂 What have you done? #CubbyandCarolina #qotd🦉,asleep and apparently,,,,
90,"#Disneyland's new Food and Wine Festival ears are so cute 😍! See more at the link in our bio.⁣
.⁣
.⁣
. #DisneyParks #DisneyWorld (Pic: @everythingdisney.55)",Food and Wine,,,,
91,Loco dates with my lady friend @kristianbrooke 🌮 // #loco #shrimptacos #tacos,,,,,
92,"#Runway5k is underway, First place was a dad running with a full stroller 👏👏👏
.
.:
.:
.:
:.
#5k #charlottenc #charlottedouglas",First place,,,,run
93,"It’s National Law Enforcement Appreciation Day! Tag somebody you’d like to shout out & thank because of their commitment to serve and protect. 💙
- Syke & MJ",out & thank; serve and protect; Syke & MJ,,,,
94,"@brandy_n_hayes here getting ready for Metallica at the Spectrum Center tonight
🤘🏽🤪🎸",,Spectrum Center,,,
95,2015 & 2017. I always enjoy putting together patriotic outfits for Veterans Day Rockets games. 🇺🇸,2015 & 2017,,,,
96,"#MySuperdry denim is easy and comfortable to wear, remarkably tough, and endlessly versatile.",easy and comfortable,,,,
97,Is that @mattharris1079 with all of the donations for #santaslinktokids at Promenade on Providence? Come by and make a donation with @cmpd.explorers and #cmpd till 5!,by and make,,,,
98,life is beautiful and weird 🌿✨ // #tattoo #monstera #palm #leaf #fresh #ink #mayhemink,beautiful and weird,,,,
99,"All I’m left with now, are these beautiful memories I shared with you, that I keep recapping in my head. I really hope your resting easy Lil bro. I love you dearly. 😔😢🙏🏽💙",,,,,
100,"#LadyGaga and her Grammys. Name a more iconic duo...I'll wait! @ovictoriamedia
(Photo by Amanda Edwards/Getty Images)",LadyGaga and her,,,,
101,"No one likes putting ice packs on their boo-boo. Frozen marshmallows are perfect because they are nice and soft, but still cold!",nice and soft,,,,
102,"#미샤 #앰플압축크림
말하면 입아픈 미샤 보랏빛 앰플이 강해져 압축! 압축! 10배나 압축되어 4세대 크림으로 출시되었어요👏🏻 미샤 타임 레볼루션 라인은 무려 1천만개나 팔렸다고…역시 베스트의 위엄!! 요즘 피부가 엄청 푸석하고 탄력없이 축 늘어졌었는데, 푹 자고 일어난듯이 푹잠피부로 만들어주는 앰플압축크림이에요~ 10가지 프로바이오틱스 성분과 보랏빛 에너지 5가지 과채소 성분 콜라게니어 성분까지 더해져 피부에 수분감과 탄력감이 쫙 붙어욤ㅋㅋ 냉온 더블 발효와 미샤만의 코어 프레스 공법으로 쫀쫀하면서도 피부결을 정돈시켜주는 압축크림이라 메이크업전에 챱챱 발라주면 푹잠피부 완성!! 데일리케어로 강력추천하는 탄력크림입니다~ 1/2/3 단계로 멀티활용 가능한 갈바닉 이온 & LED 마사지기까지 함께 하면 완전 찰떡! 크림을 도포후 마사지하듯 흡수시켜주면 탄력적인 피부가 완성되요🥰
✔️브랜드측에서 소정의 고료 및 제품 제공으로 직접 사용 후 작성되었습니다",이온 & LED,,,,
103,Listen and win your @gunsnroses tickets from #WDHA today and all weekend! #GNFNR #notinthislifetimetour,Listen and win; today and all,,,,
104,"This was from snow day  # 2! All rugged up and enjoying (and being sneaky and eating) the snow! Bubs wasn't highly amused, but the kids enjoyed it a bit more!",up and enjoying; sneaky and eating,,,,
105,"Welp, we know what our plans are tomorrow!
・・・
Can’t Knock The Hustle out tomorrow 8am ET, excellent ⭐⭐⭐⭐⭐ Set your alarms, might have a few other fun surprises tomorrow too.",,,,8am,
106,"Com os amigos @galvaobueno e @rsdei, pouco antes da estreia do Corinthians contra o PSV na @florida_cup.",,,,,
107,I think it's safe to say she enjoyed her first swim!,,,,,swim
108,#yesterday #ifeltcute #mydirtymirrornotcutetho #butHappyEastereveryone,,,,,
109,[GET PINKED FOR P!NK] — Getting Gals & Guys all pink-fied for the P!NK Concert. Stop by & see us ! 💗💕,Gals & Guys; by & see,,,,
110,"#한율
에센스 같은 #진액스킨 ◡̈
여주 쌀을 발효하여 만든 진액으로🌾
진한보습이 느껴져서 좋으다♡
향도 강하지않고~ 용량도 넉넉해서 굿👍🏻
여름이 지나가고 이제 건조해지니
쫀쫀한 보습관리 시작해야지~~
-
-
#15그래머 #챱챱스킨 #쌀진액스킨 #대용량 #한정판 #스킨추천 #토너추천 #찰기보습 #리미티드 #beauty0821 
저는 위 한율 제품을 소개하면서 아모레퍼시픽으로부터 무상으로 제품을 제공 받았습니다",,,,,
111,"#tbt desse domingo de sol.
.
.
.
.
.
.
.
.
#SaoPedroDaAldeia #RJ #Brasil #nofilter #mtur #visitbrasil #blogger #travelblogger #colors #havaianas #happy #happyness #lifestyle",,,,,
112,"#ad Celebrate Nissan of Stanhope's end of the fiscal year close-out sale on Saturday, March 24 with Jim Monaghan and team DHA! #NissanofStanhope #DriveNissan #Nissan #closeoutsale",Monaghan and team,,,,drive
113,"This is my newest foundation obsession!  Super lightweight coverage, it looks natural, lasts all day and I barely need to blend it. Details over on the blog!
#instabeauty #instamakeup #beauty #makeup",day and I,,,,
114,@kevinhart4real will take over and host @steveharveyfm this Friday morning from 6-10,over and host,,,,
115,@sheisclarkejones is at the @cricketwireless in Greenville (10th street) with FREE Bojangles & ECU basketball tix!!,Bojangles & ECU,,,,
116,"I like my @oakley glasses that fit me correctly, the less they move, the better I will run!

#Oakleyoptics #OAKLEY #oakleyglasses",,,,,run
117,Stop by Nissan World of Denville btwn noon & 2pm to say hi to @jimmonaghan21 & Team DHA.,noon & 2pm; jimmonaghan21 & Team,,,2pm,
118,"Short shorts. Big win. 4/29 Game 1 vs Jazz pics 
#rockets #houstonrockets #htown #hou #runasone #redrowdies #rednation #clutchcity #houston #nba #nbaplayoffs",,,,,run
119,Want to make the happiest and hungriest hook?  Grab a tennis ball.  Slice it and add some eyes.  #diyideas #towelholder #mailholder #pennypouch #sillystuff #imaweirdo #hacks #geniusidea #kbnmoms,happiest and hungriest; it and add,,,,
120,The only thing that's (almost) better than the weekend is cookies and milk. #foodhack,cookies and milk,,,,
121,Tickets to see @kennychesney at the @tuscaloosaamp on 5/24 go on sale Friday 12/7 at 10am....get those wallets ready 💸,,,,10am,
122,It’s tipping szn!! What are your tipping rules and how many people in your life are giving money to? #CubbyandCarolina #QOTD,rules and how,,,,
123,"Still drinking my water, minding my business, & doing my squats ✅",,,,,bus
124,"Listen to KNCI 105.1 at 7am, noon, 3pm & 5pm this week and score a free couples massage from #DreamDaySpa in #Folsom, just in time for #ValentinesDay! #Linkinbio for more details!",3pm & 5pm; week and score,,,7am; 3pm; 5pm,
125,#12signsofthezodiac I just spent the last week with the love of my life and now I don't know what to do with my life,life and now,,,,
126,Thinking about sunshine while chugging apple-ginger juice and soup 🍎🍜✨ // 📸: @emmakunz // #sick #sunshine #puppy #weekend #sunday #lackofcolor #winter #madewell #fpme #freepeople,juice and soup,,,,
127,"#여행준비
여행가기 전에 항상 바뿜😵 올림픽대로보다 이수교차로가 낫네...불금밤에 운전이란? 다혜쌤이랑 수다 미친듯이 떨고 오면서 기분업업되서 신나게 노래부르긔ㅋㅋㅋ 항상 예뿌게 변신시켜주셔서 감사합니다🥰 언제나 사랑이지만 이번 네일은 좀 대박인둡! 발은 발리가서 공개할께융🦶🏻
-
#젤네일#파츠네일#보석네일#블링블링#나는야다혜쌤의베베#네일리#잠원동젤네일 @naillee723",,,,,
128,#genius #momhack - layout and label your #kidsclothes by the #dayoftheweek.  Make mornings easier #momtips brought to you by #livelovebrew and @keurig,layout and label,,,,
129,Cricket wireless has IPhones starting at 99.00 when you switch over to cricket come see @keithcombs74 from 2 to 4 in Kinston Walmart shopping center,,Kinston Walmart shopping center,Walmart,,shopping
130,"#숨통원 방독 마스크😷
-
후드나 머리끝 없이 점착제에 의해
얼굴에 바로 부착 가능한 화재용 마스크
완전 신기하당 ㅎㅎ
기존 방독면 대비 30%이하 사이즈로
보관과 휴대가 용이하다😊 
한국건설시험연구원 유독가스 제독
성능 테스트로 신뢰성 확보했고,
국내 제조, 국산 촉매 사용으로
성능이 보장 된 마스크👍🏻
-
9월말 출시라고해요 :-)
미리 미리 구비해두면 좋을듯!
-
-
#방독면 #방독마스크 #화재대피 #화재마스크
#숨통 #화재 #피난 #119 #건강스타그램
업체로부터 원고료를 제공받아 작성된 글입니다.",,,,,
131,"@mattharris1079 is getting swept off his feet at the @carrenfest. 
Free 12 and under this weekend 🎃 #carrenfest",12 and under,,,,
132,The best thing about airports is nobody judges you for drinking at 10am! Not that it would stop me if they did. Hey! It’s made out of fruit! This is basically a smoothie. — @palmer_radio,,,,10am,
133,The easiest way to brighten a desk - and put a mug to good use! #succulentgarden #officeart #minigardens #momlife #geniusidea,easiest way,,,,
134,"아이디 페이스핏 플러스 마이너스 키트 사용해봤어요! 저는 진짜 쫄보라서 사실 다양한 병원에서 협찬 문의가 들어왔었는데 뭔가 불안해서 다 거절했거든요( 무서워 ) 하지만 뭔가 예뻐졌으면 하는 욕구는 있어서 늘 걱정이었는데, 살이 빠지든 찌든 턱라인이 또렷하게 나와있는 편이 아니라서 늘 고민이 많았어요! 그래서 리프팅 밴드 유명한 건 다 써봤는데!! 이번에는 아이디 제품 써봤거든용>_<? 근데 요거는 들어갈 부분은 들어가고, 나올 부분은 나오게 만들어주는 제품이라서 이마나 팔자부분 처럼 꺼지는 부분은 볼록하게 플러스 패치로 완성하고, 불독살처럼 아래로 축 꺼진 이중턱은 마이너스 밴드로 쫘악 끌어올릴 수 있답니다!
요고이요고, 내일 cj 오쇼핑에서 판매한다고 해용! 아침 9시 25분부터 한시간! 블로그에 좀 더 상세하게 후기 써놓았으니 참고하세요>_<❤️
.
#아이디페이스핏플러스마이너스키트 #아이디페이스핏플러스키트 #리프팅밴드 #홈케어 #쁘띠케어 #홈케어밴드 #하악밴드 #볼륨패치 #이마는빵빵하게 #턱은날렵하게 #AD #제품제공 #태그뭐달지모르게뜸",,,,,
135,"#12signsofthezodiac Don't lose me bish
•
•
•
•
•
•
•
•
#zodiac #astrology #horoscope",,,,,
136,Wer von euch traut sich mit Jogginghosen zum ersten Date aufzutauchen? #1live #jogginghose #komfortzone #jogginghosenradius,,,,,jog
137,Are you the person drinking an iced coffee on a cold day? 😂,,,,,coffee
138,Pew Pew 🔫 #forfun #summer #pewpewpew #outside #yeg #targetpractice #love #childsplay #sunshine,,,Target,,
139,Come score some #free @deltaco from the #NEWCountryCrew! Stop by the KNCI tent to get one! 🎉,,,,,
140,Easiest lazy Susan EVER! Just stack two cake pans on top of each other and fill the bottom with marbles!,other and fill,,,,
141,Happy Cinco De Metal! We're still rocking @sunsetpubandgrill until 7 PM with a shot to win @metallica tickets. Come on down.,,,,7 PM,
142,"Nobody Cares, Work Harder ✍🏽 #officevibes 💋
💋
💋
💋
💋
💋 #workhard #office #yegoffice #yeg #girl #girlboss #dosomething #redlips #blackhair #selfie #instagood #love #businesswoman #keepup",,,,,bus
143,Winterfest 2018 with 112 Teddy Riley Dave Hollister and Blackstreet,Hollister and Blackstreet,,,,
144,#havanaclub #aboutlastnight #yeg #pampabraziliansteakhouse #rip #cashmeinmybed @dirtysoapclothing  #pizzaparty #bustedpirates,,,,,bus
145,"It’s almost that time! From 6-10pm tonight catch @djkaoss1 on the turntables on the Total Kaos Night Show On 101.9 KISS FM‼️🔥🔥🔥
#numberonenightshowintheenc #radiokilla #turntableassassin #coredjs",,,,10pm,
146,thanks to bofuh you people (and literally everyone else at camp) for reminding me why lakeshore is the best place on earth... even when campers leave hate mail on your bed #tearsstream #pmh,best place,,,,
147,"#삼성에어드레서 
꿉꿉하고 습기제거제 항상 쟁여두는 드레스룸에 '리얼공간제습' 기능 활용하는 모습이에요ㅋㅋ 문 열어놔도 작동되서 넘나 신기!! 우리 신랑 아끼는 핸드메이드코트, 니트 그리고 새로산 내 청바지까지! 관리하기 힘든 의류들로 맡겨두면 알아서 척척👍🏻 추천 스페셜코스 울/니트, 겨울코트, 데님!! 삼성 Smart things 앱을 설치하면 블루투스 연결로 아주 다양한 코스들 다운받을 수 있어요ㅎㅎ 우리의 옷도 일상도 언제나 뽀송뽀송 쾌적모드🥰
-
#에어드레서#미세먼지#의류청정기#의류청정기추천#의류건조기#의류관리기#삼성의류청정기#에어드레서후기#안심가전체험단 for #리뷰 #무상제공 by #삼성전자",,,,,
148,"#Runway
#NataliaSemanova - #JeanPaulGaultier Spring Summer 1998.",,,,,run
149,"Domingo terminando. Bom momento para organizar a semana.
.
.
.
.
.
.
.
#planner #organization #organizacao #planejamento #lifestyle",,,,,
150,Free Bojangles when you get your taxes done at 2227 South Memorial Drive! Up to $6000 in advance!,Memorial Drive,,,,drive
151,We're LIVE at David Stanley Chrysler Jeep Dodge in Midwest City! We have your KJ10-FREE hookup and you can save big on over 700 new vehicles all in one place! Come join us until 3pm!,hookup and you; one place,,,3pm,
152,Eww.. just #ewwwwww My carpets were #gross #twentyminuteslater and much better!! #rugdoctordifference #ad,twentyminuteslater and much,,,,
153,"@JillianElaine hosted @DeanLewisMusic's performance in our AT&T Sound Studio 🎶! See photos at the link in our bio!⁣
.⁣
.⁣
. #DeanLewis #ValentineInTheMorning",,,,,
154,"Disputando a bola com meu amigo Nelsinho, craque da lateral, em mais um jogo entre Guarani x São Paulo.",,,,,jog
155,"It ain’t a secret, but it ain’t your business either 😏",,,,,bus
156,Finally working on my YouTube channel and came across this pic from Friday when my hair looked bomb. Maybe I should start accepting nail and hair clients lol,channel and came; nail and hair,,,,
157,"These @Oakley glasses don’t fall while I’m active on the move and are comfortable to wear. Sometimes I even say they forget that I have the glasses on!
#OAKLEY #oakleyglasses #SportsEyewear
@oakley",move and are,,,,
158,"One of our faithful listeners, Joyce stopped by Cricket!! Congrats on becoming a GREAT-Grandmother! Come see Santa & @sheisclarkejones for some GREAT DEALS AT @cricketwireless",,,,,
159,"Yes, I am the crazy girl who bought not one but TWO new French press #coffeecoffeecoffee pots!  #stainlesssteelcoffeepress is my favorite of the two!  #spon #otbt",,,,,coffee
